Location,Y_Coordinate,X_Coordinate
FLORIDA ROCK INDUSTRIES INC KEUKA SAND PLANT,-81.91730324806214,29.601224451346493
RED BARN ANTIQUES,-81.13055850864785,29.320838849515507
CV DISCOUNT BEVERAGE,-81.63930377970183,29.64902491476121
HUNTLEY JIFFY FOOD STORES #9,-81.42416970496227,29.320838841912252
PENINSULAR AUTO PARTS,-81.51018345635192,29.429505532451433
SUBURBAN PROPANE FLEET MAINT,-81.66854306582404,29.64169694007885
PUTNAM COUNTY CENTRAL LANDFILL,-81.72528091533461,29.633338908317672
TREASURE CHEST THRIFT STORE,-81.51006506763125,29.423907559231058
CARNES CAR CLINIC,-81.65548456212147,29.66561286260681
ST JOHNS AUTO BODY,-81.64583283668212,29.648540609131555
MONTCO RESEARCH PRODUCTS INC,-81.79183649109493,29.6702555825517
LLOYD PONTIAC CADILLAC GMC INC,-85.65742418022597,30.188874066339448
SHELL OIL CO,-85.68333763121453,30.168061144384172
THE NATURAL LIGHT INC,-85.6680352969379,30.244023578963812
MCLEAN AUTO BODY & USED CARS,-85.61049486617702,30.31419045755563
PANAMA CITY TOYOTA,-85.73045842339089,30.184319452788596
EDGEWATER CLEANERS & LAUNDRY,-85.81822700314983,30.185072116486793
LIGHTHOUSE MARINA,-85.74516956467039,30.14794591587487
STARBOARD MARINE INC,-85.93747434606051,30.25303368367188
GENESEE & WYOMING,-85.64360578669678,30.182817315913645
RUPERTS CLEANERS INC,-85.66212354234001,30.190846567281614
VA MEDICAL CENTER,-82.3443938730927,29.63705519841644
USDA ARS GAINESVILLE,-82.35951223935052,29.634899058416316
PROGRESS CENTER,-82.49139225507574,29.795561148180106
RIPS 1 HOUR CLEANERS #12,-82.32523531319052,29.65453959181232
UNIVERSITY OF FLORIDA ENT & NEM,-82.38666999746995,29.65167222896471
QUALITY WEB PLUS MAILING & PRINTING,-82.35727199118332,29.71709666124653
SANTA FE COLLEGE,-82.43344201179214,29.68029731786731
FLUORESCENT LAMP RECYCLING,-82.36909868638307,29.650737256372683
DVORAK MACHINE,-82.14063831798119,29.757233982178523
SEABRING MARINE IND INC,-82.40572334269135,29.838755606433036
MIDAS MUFFLER,-82.38227427254641,29.618794055535034
BELLSOUTH TELECOMMUNICATIONS INC,-82.52119547670559,29.53171722425494
FLORIDA PEST CONTROL & CHEMICAL CO,-82.32586831373904,29.66702337269803
FABCO AIR INC,-82.27714399468479,29.700444103779525
GAINESVILLE PODIATRY ASSOCIATES,-82.4026685860642,29.661307563838083
RENAISSANCE PRINTING CO INC,-82.33982109470088,29.656026925400507
COLLINS AUTOMOTIVE,-82.29940102823828,29.676733848388107
MIDAS MUFFLER,-82.32472189614627,29.66555953878381
UNIVERSITY OF FLORIDA YEW OF FLORIDA PROJECT,-82.47440491697594,29.782714396178314
HALE ENTERPRISE,-82.65333674983059,29.871672273181947
UNIVERSITY OF FLORIDA ENERGY RES PK,-82.3584058499543,29.62877902984127
EXXON COMPANY USA #44769,-82.37198443809699,29.65180720155719
TUFFY AUTO SVC CTR,-82.38066427277862,29.620622221340412
JERRYS A C & AUTO SHOP,-82.32053322932576,29.681967320918226
TEXACO #246710220,-82.31885256059304,29.64526020107206
FOXS AUTO BODY,-82.12611438952332,30.29972794328704
P C R RESEARCH CHEMICAL INC,-82.44470531243908,30.201246606058838
TEXACO INC,-85.68333763156872,30.166672254934177
COLLISION CENTER,-85.60744674975565,30.19543918106661
USDOC FISHERIES SERVICE SOUTHEAST FISHERIES SCIENCE CENTER,-85.71299294436895,30.14814780529185
PEP BOYS STORE #122,-85.67268976833293,30.188965760744193
DIXIE SERVICE CLEANERS,-85.68402213131766,30.177001702210372
PHOTO WORLD,-85.64764451080981,30.18715856699557
J C METAL SPINNING INC,-80.352274417469,27.493298839676775
SOUTHERN FILM EXTRUDERS INC,-80.32778043719742,27.462227304032254
BILL SHULTZ CHEVROLET,-80.31722487848975,27.455560636058426
SHERWIN WILLIAMS CO,-80.32694710390784,27.446949523197645
PORT ST LUCIE BODY SHOP,-80.3613871924817,27.282339620444894
10 MILE CREEK GROVES INC,-80.3388915531062,27.48889397714018
DANNYS ALL STAR TRANSMISSIONS,-80.32599840694122,27.379169783668775
TUXEDO FRUIT CO,-80.3269471031237,27.447505078730043
SUNSHINE MIRROR CO,-80.40283746025052,27.472078304751854
CUMBERLAND FARMS #0936,-80.20245520084356,27.26445022977641
CUMBERLAND FARMS #1094,-80.37331250165172,27.28058217494192
SMITHS RADIATOR & AIR CONDITIONING,-80.32557227004409,27.43859366049117
WILLIAMS HAWG WILD AIRPORT,-80.3250026579318,27.43556063080403
PHIL'S AUTO CLINIC,-80.3200317371049,27.322601630960843
INDIAN RIVER STATE COLLEGE,-80.35783458444024,27.424579821760283
SMYRNA READY MIX - PLANT #146,-85.05187615702998,30.44996317191033
FLORIDA DEP DSCP D293 439700694,-80.2377054033126,27.17796890226994
GREENSTAR HOLDING CHAMPION CLEANERS,-81.80141541968601,26.292705619267462
HIRT CONSTRUCTION,-81.1617973910391,28.849749846646265
UNIVERSAL ENGINEERING SCIENCES INC,-82.37467282580583,29.611248719557434
SAFT AEROSPACE BATTERIES,-82.50639226025946,29.800005593512214
LIL CHAMP FOOD STORES INC #1002,-82.27201196351186,29.63559408889445
SCOOTER SUPERSTORE OF AMERICA,-82.32205198035889,29.688024155910792
JIFFY LUBE #1837,-82.37283324273332,29.624429833243912
ANDRX PHARMACEUTICALS INC,-80.20778036387726,26.006393607770995
NORWEGIAN SPIRIT IMO #9141065,-80.17454632057792,25.778633244468278
BUTERA BROTHES INC,-82.54640697201914,27.41857221505936
ALL TUNE & LUBE,-81.32968737895654,28.68728385840915
WILLIAM ANDREWS DESIGNS INC - STONEFAUX LLC,-80.24284128864637,25.90695841535932
CONCORD CUSTOM CLEANERS #6045,-84.2868478547789,30.464551780996704
CUMBERLAND FARMS #1050,-82.3209001987341,26.934956073263848
ORION ENGINE SERVICES,-80.31392661214076,25.81456466798607
LEXUS OF JACKSONVILLE,-81.53387716178716,30.324194576968576
TENNANT DENTAL LABORATORY,-82.37092957726824,28.008738779544455
WASTE MANAGEMENT OF TAMPA,-82.41314289444811,27.97502896535024
WASTE MANAGEMENT OF TAMPA,-82.41314289444811,27.97502896535024
AMOCO SERVICE STATION #6272,-82.41733800706356,29.659263702191037
TEXACO STATION 100796,-82.33704695481757,29.65242411887522
TEXACO #241100018,-82.37221246415766,29.62764172359489
SHADE TREE CREATIONS INC,-82.41289006503028,29.76986011662074
NORTH 441 PAINT & BODY SHOP,-82.33951879087685,29.69296457284984
NORTH 441 PAINT & BODY SHOP,-82.33951879087685,29.69296457284984
GRADY CABINET WORKS,-82.32688397983374,29.636381893191853
U-HAUL,-82.32530086902194,29.659621232284778
MATTHEWS CURRIE FORD,-82.45257788062575,27.125518173686856
SARASOTA COUNTY FLEET MGMT,-82.40045139112476,27.04402879289048
PAULS AUTO BODY & COLLISION,-82.44873691319029,27.332581390832484
TRIANGLE COACH WORKS,-82.53187804978114,27.348977198795378
SARASOTA AUTOMATION INC,-82.52971649363286,27.350869921350863
SCOTTIS AUTO REPAIR & SALES INC,-82.51389609833966,27.299223298242733
GRIFFINS DRY CLEANING & LAUNDRY,-81.4413079868714,27.493832675560427
LESCO INC,-80.47000270220522,27.49500508713998
FLORIDA DMA NATIONAL GUARD ARMORY,-81.51369539841066,27.562168857576115
ALAN JAY CHEVROLET CADILLAC INC,-81.48674649995242,27.490631257655988
CIRCLE K #7451,-81.32935800151199,27.209088830632346
LITTLE FROGGIES FISH AND MEAT MARKET,-81.42101739681058,27.486428396637645
CIRCLE K #0009,-81.5147174001253,27.59805270017302
CIRCLE K #7155,-82.51180489597816,27.98179443660423
CIRCLE K STORE #0129,-82.45076901895227,28.060612957196046
CIRCLE K #7106,-82.53959385112725,28.084639544338692
CIRCLE K #4146,-82.59857761535272,28.004648356917244
CIRCLE K #7435,-82.50618770250196,28.074668904041825
"DARLING INGREDIENTS, INC.",-82.37210027091358,27.955289517369124
ALARIC INC,-82.37536043865974,27.96391063028086
CARRIER SERVICE CENTER,-82.35824718446902,28.00174188972427
TAMPA AUTOMOTIVE PROTECTION INC,-82.50623611539184,27.95344054102627
CWR-GULF COAST TERMINAL,-85.63002517039818,30.143851917933386
SEARCYS BODY SHOP,-84.73278182378648,30.669450175881895
ROBIN JOHNSON STUCCO INC,-81.94554543036591,27.20253117553403
P & S GARAGE,-84.59530008689481,30.58921788425815
GADSDEN ARC,-84.58886550228578,30.58249468793211
DAVE FLURY,-84.41568589774991,30.6245946754334
HIGDON INDUSTRIES INC,-84.59814292129998,30.582537243200516
PAT HIGDON INDUSTRIES INC,-84.59165516896333,30.57183124084168
IRVETTE MARINE,-82.8046127006076,29.605171011476866
MILLER AGENCY INC,-85.29511464667377,29.81566124175415
ST JOSEPH LAND & DEV CO,-85.29527956291255,29.814731880539835
